filename, language, Markdown, JSON, JavaScript, CSS, HTML, XML, Log, comment, blank, total
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/DocTypes.js, JavaScript, 0, 0, 170, 0, 0, 0, 0, 0, 13, 183
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditButton.js, JavaScript, 0, 0, 30, 0, 0, 0, 0, 1, 7, 38
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/EditDocType.js, JavaScript, 0, 0, 99, 0, 0, 0, 0, 0, 14, 113
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/FormComponents/1-DocInfo.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/FormComponents/2-AssignRights.js, JavaScript, 0, 0, 182, 0, 0, 0, 0, 1, 15, 198
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/FormComponents/1-DocInfo.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/FormComponents/2-AssignRights.js, JavaScript, 0, 0, 165, 0, 0, 0, 0, 1, 14, 180
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/NewDocType.js, JavaScript, 0, 0, 101, 0, 0, 0, 0, 0, 13, 114
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/AdminScreen.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/AdminScreen.js, JavaScript, 0, 0, 175, 0, 0, 0, 0, 0, 17, 192
/home/pra-va/programavimas/4-projektas/front/src/components/5-Context/UserRole.js, JavaScript, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/1-TableHead/TableHead.js, JavaScript, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/2-TableBody/TableBody.js, JavaScript, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
